id,title,author,text,label
1,NASA Confirms Water on Moon,John A. Smith,NASA releases new research confirming presence of water molecules on the lunar surface.,1
2,Aliens Built Egyptian Pyramids,MysteryReporter12,Newly decoded hieroglyphs suggest extraterrestrial involvement in pyramid construction.,0
3,Global Warming Accelerates,Maria K. Lee,Climate scientists warn the pace of warming is exceeding previous projections.,1
4,Cure for Aging Found in Himalayan Herb,WellnessGuruX,Researchers claim rare Himalayan herb may reverse cellular aging—big pharma keeps it secret.,0
5,UN Proposes Global Cybersecurity Treaty,Elena Cho,The United Nations unveils a draft framework for international cooperation on cyber threats.,1
6,Government Replacing Real Currency with Digital Chips,TruthHunter88,Conspiracy theorists raise alarm as rumors suggest national rollout of currency chips in humans.,0
7,New Species of Frog Discovered in Amazon,Rajiv Batra,Biologists reveal a brightly colored frog with unique vocal patterns found deep in the rainforest.,1
8,COVID-19 Was Engineered in a Lab,AnonNewsDaily,Leaked emails suggest virus origin tied to shadowy labs manipulating genomes for control.,0
9,India Launches Largest Solar Power Grid,Priya Singh,India takes bold step in renewable energy with nationwide solar grid deployment.,1
10,Mind Control Through 5G Towers,WokeAwakeningChannel,Experts silenced after revealing that 5G towers emit waves that manipulate thoughts.,0
11,Scientists Discover Underground Ocean,Dr. Ellen Marsh,Geologists reveal evidence of a vast subterranean ocean beneath Earth's mantle.,1
12,Lizard People Control World Governments,RedPillInsider,Anonymous whistleblower claims high-ranking officials are shape-shifting reptiles.,0
13,Google Develops AI That Passes Turing Test,Avi Patel,Google’s new conversational model stuns researchers by passing advanced reasoning benchmarks.,1
14,Magnetic Waves Healing Chronic Pain,HealthMystic88,"Unapproved magnetic therapy claims to cure pain instantly, ignored by mainstream medicine.",0
15,Japan Successfully Tests Flying Car,Tomo Hayashi,Tokyo-based startup completes first public trial of autonomous flying vehicle.,1
16,Bill Gates Planning Microchip Implants,NewsUnfilteredNow,Social media posts speculate Gates’ foundation backs global implant project for control.,0
17,Archaeologists Unearth Ancient Supercomputer,Dr. Lee Norton,Fossilized remains of mechanical device may predate known computing by centuries.,1
18,Moon Landing Was Filmed in Hollywood,ConspiracyTimes,Former crew member reveals moon footage was staged on soundstage in California.,0
19,Breakthrough in Alzheimer’s Research,Dr. Karen Olsen,Medical team announces molecule that halts memory decay in early trials.,1
20,Chemtrails Used for Mind Manipulation,SkyTruthDaily,Government jets spotted emitting trails with neurotoxins to influence public behavior.,0
